,true drifts,detection rate,false negative rate,false positive rate,delay rate,detections,execution time,ram hours,param,observation,method
0,[10079],0.3333333333333333,0.6666666666666666,0.0,14017.333333333334,[10079],0.06542325019836426,0.00030569975719395694,0.001,error rate,adwin
1,[9887],0.3333333333333333,0.6666666666666666,0.0,13953.333333333334,[9887],0.05402731895446777,0.0002524527108865489,0.002,error rate,adwin
2,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.07092571258544922,0.00033141991567390503,0.003,error rate,adwin
3,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.05857038497924805,0.00027368835655680514,0.004,error rate,adwin
4,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.08618855476379395,0.0004032118250741708,0.005,error rate,adwin
5,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.05424666404724121,0.00025385558474353174,0.006,error rate,adwin
6,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.06354880332946777,0.0002974605795596593,0.007,error rate,adwin
7,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.08761978149414062,0.00041014366350282215,0.008,error rate,adwin
8,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.07583284378051758,0.00035537621613760474,0.009000000000000001,error rate,adwin
9,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.11065483093261719,0.0005188476538225789,0.010000000000000002,error rate,adwin
10,[14335],0.3333333333333333,0.6666666666666666,0.0,15436.0,[14335],0.06293487548828125,0.0002911375797217867,0.001,confidence levels,adwin
11,[10175],0.3333333333333333,0.6666666666666666,0.0,14049.333333333334,[10175],0.07929587364196777,0.0003666552230263025,0.002,confidence levels,adwin
12,[9855],0.3333333333333333,0.6666666666666666,0.0,13942.666666666666,[9855],0.08000969886779785,0.0003698354812968318,0.003,confidence levels,adwin
13,[9695],0.3333333333333333,0.6666666666666666,0.0,15574.0,[9695],0.06827592849731445,0.0003157612945970969,0.004,confidence levels,adwin
14,[9407],0.3333333333333333,0.6666666666666666,0.0,15478.0,[9407],0.07167267799377441,0.00033141583908319366,0.005,confidence levels,adwin
15,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.08994197845458984,0.0004161774468957447,0.006,confidence levels,adwin
16,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.06353998184204102,0.00029415515904929635,0.007,confidence levels,adwin
17,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.06248593330383301,0.0002893081369595368,0.008,confidence levels,adwin
18,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.055153846740722656,0.00025530163523095935,0.009000000000000001,confidence levels,adwin
19,[9215],0.3333333333333333,0.6666666666666666,0.0,15414.0,[9215],0.07074856758117676,0.0003273821822014927,0.010000000000000002,confidence levels,adwin
20,[14335],0.3333333333333333,0.6666666666666666,0.0,15436.0,[14335],0.0761418342590332,0.00035281600095004255,0.001,predicted labels,adwin
21,[12159],0.3333333333333333,0.6666666666666666,0.0,14710.666666666666,[12159],0.056885719299316406,0.00026367351981813653,0.002,predicted labels,adwin
22,[11967],0.3333333333333333,0.6666666666666666,0.0,14646.666666666666,[11967],0.06864738464355469,0.00031808833471586696,0.003,predicted labels,adwin
23,[11903],0.3333333333333333,0.6666666666666666,0.0,14625.333333333334,[11903],0.07931947708129883,0.000367932488779843,0.004,predicted labels,adwin
24,[11711],0.3333333333333333,0.6666666666666666,0.0,14561.333333333334,[11711],0.08291840553283691,0.0003855212450983143,0.005,predicted labels,adwin
25,[11615],0.3333333333333333,0.6666666666666666,0.0,14529.333333333334,[11615],0.04990410804748535,0.00023167719494040283,0.006,predicted labels,adwin
26,[10175],0.3333333333333333,0.6666666666666666,0.0,14049.333333333334,[10175],0.10746264457702637,0.000498684360880159,0.007,predicted labels,adwin
27,[10175],0.3333333333333333,0.6666666666666666,0.0,14049.333333333334,[10175],0.08099651336669922,0.00037608616287090825,0.008,predicted labels,adwin
28,[10143],0.3333333333333333,0.6666666666666666,0.0,14038.666666666666,[10143],0.05966448783874512,0.00027727399972945935,0.009000000000000001,predicted labels,adwin
29,[10143],0.3333333333333333,0.6666666666666666,0.0,14038.666666666666,[10143],0.0612034797668457,0.00028446053584401754,0.010000000000000002,predicted labels,adwin
30,[11427],0.3333333333333333,0.6666666666666666,0.0,14466.666666666666,[11427],0.018000125885009766,8.380448776430665e-05,0.001,error rate,ph
31,[11488],0.3333333333333333,0.6666666666666666,0.0,14487.0,[11488],0.033657073974609375,0.00015667556413973216,0.002,error rate,ph
32,[12112],0.3333333333333333,0.6666666666666666,0.0,14695.0,[12112],0.016093015670776367,7.49144689466953e-05,0.003,error rate,ph
33,[12148],0.3333333333333333,0.6666666666666666,0.0,14707.0,[12148],0.015639066696166992,7.280886798450109e-05,0.004,error rate,ph
34,[12750],0.3333333333333333,0.6666666666666666,0.0,14907.666666666666,[12750],0.023756980895996094,0.00011060311648583996,0.005,error rate,ph
35,[13079],0.3333333333333333,0.6666666666666666,0.0,15017.333333333334,[13079],0.021385908126831055,9.956207236933147e-05,0.006,error rate,ph
36,[13390],0.3333333333333333,0.6666666666666666,0.0,15121.0,[13390],0.015898466110229492,7.401529194087035e-05,0.007,error rate,ph
37,[13473],0.3333333333333333,0.6666666666666666,0.0,15148.666666666666,[13473],0.031262874603271484,0.0001455564369487345,0.008,error rate,ph
38,[15389],0.3333333333333333,0.6666666666666666,0.0,13992.666666666666,[15389],0.020487308502197266,9.544333599680815e-05,0.009000000000000001,error rate,ph
39,[15842],0.3333333333333333,0.6666666666666666,0.0,14143.666666666666,[15842],0.02214646339416504,0.00010318501886558806,0.010000000000000002,error rate,ph
40,[19391],0.3333333333333333,0.6666666666666666,0.0,15326.666666666666,[19391],0.04287409782409668,0.00019986613342982512,0.001,confidence levels,ph
41,[],0.0,1.0,0.0,20876.0,[],0.031737565994262695,0.0001479863883125492,0.002,confidence levels,ph
42,[],0.0,1.0,0.0,20876.0,[],0.04688310623168945,0.00021860723551880154,0.003,confidence levels,ph
43,[],0.0,1.0,0.0,20876.0,[],0.0323488712310791,0.0001508197208462055,0.004,confidence levels,ph
44,[],0.0,1.0,0.0,20876.0,[],0.04986405372619629,0.00023247973540871194,0.005,confidence levels,ph
45,[],0.0,1.0,0.0,20876.0,[],0.03795003890991211,0.0001769333687343533,0.006,confidence levels,ph
46,[],0.0,1.0,0.0,20876.0,[],0.047376155853271484,0.00022080638358248607,0.007,confidence levels,ph
47,[],0.0,1.0,0.0,20876.0,[],0.04197502136230469,0.00019580536465380445,0.008,confidence levels,ph
48,[],0.0,1.0,0.0,20876.0,[],0.044683218002319336,0.00020861684410470438,0.009000000000000001,confidence levels,ph
49,[],0.0,1.0,0.0,20876.0,[],0.033785104751586914,0.00015773573718433906,0.010000000000000002,confidence levels,ph
50,"[5468, 12582, 18031]",1.0,0.0,0.5,2138.0,"[3483, 5468, 8869, 12582, 14466, 18031]",0.03133559226989746,0.0001462583910731357,0.001,predicted labels,ph
51,"[5593, 10141, 18079]",1.0,0.0,0.5714285714285714,1382.0,"[3493, 5593, 7215, 10141, 12549, 14468, 18079]",0.03513312339782715,0.0001639880739682869,0.002,predicted labels,ph
52,"[5814, 12656]",0.6666666666666666,0.3333333333333333,0.6,8280.666666666666,"[3558, 5814, 8929, 12656, 14824]",0.04141688346862793,0.000193319683341997,0.003,predicted labels,ph
53,"[5869, 10164]",0.6666666666666666,0.3333333333333333,0.6666666666666666,7468.333333333333,"[3563, 5869, 7223, 10164, 12582, 14594]",0.031255245208740234,0.0001458899962608484,0.004,predicted labels,ph
54,"[6210, 12656, 17860]",1.0,0.0,0.4,2353.0,"[3569, 6210, 8844, 12656, 17860]",0.029645204544067383,0.0001383492134603633,0.005,predicted labels,ph
55,"[6230, 12660, 17862]",1.0,0.0,0.4,2361.6666666666665,"[3644, 6230, 8931, 12660, 17862]",0.0312497615814209,0.00014587983121575437,0.006,predicted labels,ph
56,"[5578, 10420]",0.6666666666666666,0.3333333333333333,0.5,7456.666666666667,"[5578, 10420, 12518, 14791]",0.047266483306884766,0.00022064893484083668,0.007,predicted labels,ph
57,"[5579, 10426, 15298]",1.0,0.0,0.25,545.3333333333334,"[5579, 10426, 12149, 15298]",0.03127598762512207,0.00014600225937632177,0.008,predicted labels,ph
58,"[5593, 11616]",0.6666666666666666,0.3333333333333333,0.0,7860.333333333333,"[5593, 11616]",0.031236648559570312,0.0001458183854386637,0.009000000000000001,predicted labels,ph
59,"[5597, 11623]",0.6666666666666666,0.3333333333333333,0.0,7864.0,"[5597, 11623]",0.03165698051452637,0.00014775444032870332,0.010000000000000002,predicted labels,ph
60,[],0.0,1.0,0.0,20876.0,[],6.31564998626709,0.02996809508493647,0.001,error rate,kswin
61,[],0.0,1.0,0.0,20876.0,[],5.754534959793091,0.027307733035744,0.002,error rate,kswin
62,[],0.0,1.0,0.0,20876.0,[],5.544439792633057,0.026287241085145876,0.003,error rate,kswin
63,[],0.0,1.0,0.0,20876.0,[],5.861696481704712,0.027728855262924602,0.004,error rate,kswin
64,[],0.0,1.0,0.0,20876.0,[],5.664184331893921,0.02683532816751545,0.005,error rate,kswin
65,[],0.0,1.0,0.0,20876.0,[],5.679247140884399,0.0269092852973381,0.006,error rate,kswin
66,[],0.0,1.0,0.0,20876.0,[],5.766883850097656,0.027314355259247046,0.007,error rate,kswin
67,[],0.0,1.0,0.0,20876.0,[],5.761288166046143,0.027401420871362665,0.008,error rate,kswin
68,[],0.0,1.0,0.0,20876.0,[],5.586946487426758,0.026523500940768118,0.009000000000000001,error rate,kswin
69,[],0.0,1.0,0.0,20876.0,[],5.427698373794556,0.02570243726671429,0.010000000000000002,error rate,kswin
70,"[4756, 12282, 16031]",1.0,0.0,0.8,1134.0,"[267, 1892, 2587, 4371, 4756, 5698, 6684, 7826, 7969, 12282, 14600, 16031, 17277, 18956, 19434]",5.219695091247559,0.024748665503879642,0.001,confidence levels,kswin
71,"[4756, 12282, 16031]",1.0,0.0,0.8,1134.0,"[267, 1892, 2587, 4371, 4756, 5698, 6684, 7826, 7969, 12282, 14600, 16031, 17277, 18956, 19434]",5.237950563430786,0.024813498010892093,0.002,confidence levels,kswin
72,"[4763, 11121, 17275]",1.0,0.0,0.8571428571428571,1164.0,"[267, 1558, 4399, 4763, 5707, 6682, 6967, 7512, 7696, 7828, 7963, 8989, 9194, 11121, 11429, 12268, 13657, 14598, 17275, 18958, 20366]",4.99703574180603,0.023671423951361452,0.003,confidence levels,kswin
73,"[4763, 11121, 17275]",1.0,0.0,0.8571428571428571,1164.0,"[267, 1558, 4399, 4763, 5707, 6682, 6967, 7512, 7696, 7828, 7963, 8989, 9194, 11121, 11429, 12268, 13657, 14598, 17275, 18958, 20366]",4.993890047073364,0.023598779293936587,0.004,confidence levels,kswin
74,"[4763, 11121, 17275]",1.0,0.0,0.8571428571428571,1164.0,"[267, 1558, 4399, 4763, 5707, 6682, 6967, 7512, 7696, 7828, 7963, 8989, 9194, 11121, 11429, 12268, 13657, 14598, 17275, 18958, 20366]",5.044002532958984,0.023833839614740605,0.005,confidence levels,kswin
75,"[4763, 11121, 17275]",1.0,0.0,0.8571428571428571,1164.0,"[267, 1558, 4399, 4763, 5707, 6682, 6967, 7512, 7696, 7828, 7963, 8989, 9194, 11121, 11429, 12268, 13657, 14598, 17275, 18958, 20366]",5.118792772293091,0.02417487579935975,0.006,confidence levels,kswin
76,"[5692, 11015, 15309]",1.0,0.0,0.9318181818181818,783.0,"[265, 721, 1337, 1884, 2355, 2587, 3609, 4371, 4686, 5692, 5806, 5945, 6358, 6466, 6683, 6969, 7820, 7964, 8525, 8638, 8989, 9194, 9601, 11015, 11219, 11432, 11858, 12161, 12269, 14004, 14265, 14596, 15309, 15996, 16156, 16745, 17265, 17693, 18526, 18826, 18955, 19487, 20368, 20819]",4.471773862838745,0.021122552431607648,0.007,confidence levels,kswin
77,"[5692, 11015, 15309]",1.0,0.0,0.9318181818181818,783.0,"[265, 721, 1337, 1884, 2355, 2587, 3609, 4371, 4686, 5692, 5806, 5945, 6358, 6466, 6683, 6969, 7820, 7964, 8525, 8638, 8989, 9194, 9601, 11015, 11219, 11432, 11858, 12161, 12269, 14004, 14265, 14596, 15309, 15996, 16156, 16745, 17265, 17693, 18526, 18826, 18955, 19487, 20368, 20819]",4.40894079208374,0.0208252260205442,0.008,confidence levels,kswin
78,"[5692, 11015, 15309]",1.0,0.0,0.9318181818181818,783.0,"[265, 721, 1337, 1884, 2355, 2587, 3609, 4371, 4686, 5692, 5806, 5945, 6358, 6466, 6683, 6969, 7820, 7964, 8525, 8638, 8989, 9194, 9601, 11015, 11219, 11432, 11858, 12161, 12269, 14004, 14265, 14596, 15309, 15996, 16156, 16745, 17265, 17693, 18526, 18826, 18955, 19487, 20368, 20819]",4.488810062408447,0.021220289557068606,0.009000000000000001,confidence levels,kswin
79,"[5692, 11015, 15309]",1.0,0.0,0.9318181818181818,783.0,"[265, 721, 1337, 1884, 2355, 2587, 3609, 4371, 4686, 5692, 5806, 5945, 6358, 6466, 6683, 6969, 7820, 7964, 8525, 8638, 8989, 9194, 9601, 11015, 11219, 11432, 11858, 12161, 12269, 14004, 14265, 14596, 15309, 15996, 16156, 16745, 17265, 17693, 18526, 18826, 18955, 19487, 20368, 20819]",4.585923671722412,0.02162982566855893,0.010000000000000002,confidence levels,kswin
80,"[12179, 15620]",0.6666666666666666,0.3333333333333333,0.5,7911.0,"[12179, 15620, 16903, 18861]",5.944940805435181,0.027246108283671775,0.001,predicted labels,kswin
81,"[12179, 15620]",0.6666666666666666,0.3333333333333333,0.5,7911.0,"[12179, 15620, 16903, 18861]",5.370075941085815,0.024597364655721776,0.002,predicted labels,kswin
82,"[6667, 16900]",0.6666666666666666,0.3333333333333333,0.6666666666666666,8185.0,"[6667, 16900, 17032, 18860, 18996, 20151]",5.2722859382629395,0.024151587730261784,0.003,predicted labels,kswin
83,"[6667, 16900]",0.6666666666666666,0.3333333333333333,0.6666666666666666,8185.0,"[6667, 16900, 17032, 18860, 18996, 20151]",5.246469736099243,0.02401224631016779,0.004,predicted labels,kswin
84,"[6667, 16900]",0.6666666666666666,0.3333333333333333,0.6666666666666666,8185.0,"[6667, 16900, 17032, 18860, 18996, 20151]",5.295699834823608,0.024223159750818013,0.005,predicted labels,kswin
85,"[6667, 16900]",0.6666666666666666,0.3333333333333333,0.6666666666666666,8185.0,"[6667, 16900, 17032, 18860, 18996, 20151]",5.406145334243774,0.024706667986269318,0.006,predicted labels,kswin
86,"[6583, 11597, 15617]",1.0,0.0,0.7857142857142857,1376.6666666666667,"[943, 4370, 6583, 7253, 9262, 11597, 11995, 12179, 15617, 16455, 16894, 17029, 18859, 20149]",5.043429613113403,0.022896344570648732,0.007,predicted labels,kswin
87,"[6583, 11597, 15617]",1.0,0.0,0.7857142857142857,1376.6666666666667,"[943, 4370, 6583, 7253, 9262, 11597, 11995, 12179, 15617, 16455, 16894, 17029, 18859, 20149]",5.034090280532837,0.02285592989488047,0.008,predicted labels,kswin
88,"[6583, 11597, 15617]",1.0,0.0,0.7857142857142857,1376.6666666666667,"[943, 4370, 6583, 7253, 9262, 11597, 11995, 12179, 15617, 16455, 16894, 17029, 18859, 20149]",5.649206161499023,0.025853183400308302,0.009000000000000001,predicted labels,kswin
89,"[6583, 11597, 15617]",1.0,0.0,0.7857142857142857,1376.6666666666667,"[943, 4370, 6583, 7253, 9262, 11597, 11995, 12179, 15617, 16455, 16894, 17029, 18859, 20149]",5.373424291610718,0.024396954601520016,0.010000000000000002,predicted labels,kswin
